"Nums of iteration","Cost"
"1000","78.37588856088561"
"2000","154.61322179112915"
"3000","230.4645035335688"
"4000","308.89581902490704"
"5000","386.82386100386117"
"6000","463.7899558441571"
"7000","539.1685722007729"
"8000","617.2084000000008"
"9000","695.6976000000006"
"10000","771.4052795287637"
